Date,Decade,Year,Month,Day,min,max,mean
1950-10-03 00:00:00,1950s,1950,10,3,55.0,84.0,69.5
1950-10-04 00:00:00,1950s,1950,10,4,51.0,65.0,58.0
1950-10-05 00:00:00,1950s,1950,10,5,43.0,63.0,53.0
1950-10-06 00:00:00,1950s,1950,10,6,39.0,65.0,52.0
1950-10-07 00:00:00,1950s,1950,10,7,52.0,68.0,60.0
1950-10-08 00:00:00,1950s,1950,10,8,58.0,67.0,62.5
1950-10-09 00:00:00,1950s,1950,10,9,55.0,67.0,61.0
1950-10-10 00:00:00,1950s,1950,10,10,48.0,67.0,57.5
1951-10-03 00:00:00,1950s,1951,10,3,60.0,81.0,70.5
1951-10-04 00:00:00,1950s,1951,10,4,65.0,78.0,71.5
1951-10-05 00:00:00,1950s,1951,10,5,65.0,92.0,78.5
1951-10-06 00:00:00,1950s,1951,10,6,62.0,89.0,75.5
1951-10-07 00:00:00,1950s,1951,10,7,59.0,70.0,64.5
1951-10-08 00:00:00,1950s,1951,10,8,44.0,63.0,53.5
1951-10-09 00:00:00,1950s,1951,10,9,40.0,62.0,51.0
1951-10-10 00:00:00,1950s,1951,10,10,43.0,57.0,50.0
1952-10-03 00:00:00,1950s,1952,10,3,41.0,60.0,50.5
1952-10-04 00:00:00,1950s,1952,10,4,35.0,68.0,51.5
1952-10-05 00:00:00,1950s,1952,10,5,47.0,75.0,61.0
1952-10-06 00:00:00,1950s,1952,10,6,51.0,77.0,64.0
1952-10-07 00:00:00,1950s,1952,10,7,46.0,61.0,53.5
1952-10-08 00:00:00,1950s,1952,10,8,44.0,59.0,51.5
1952-10-09 00:00:00,1950s,1952,10,9,42.0,54.0,48.0
1952-10-10 00:00:00,1950s,1952,10,10,51.0,57.0,54.0
1953-10-03 00:00:00,1950s,1953,10,3,44.0,76.0,60.0
1953-10-04 00:00:00,1950s,1953,10,4,47.0,77.0,62.0
1953-10-05 00:00:00,1950s,1953,10,5,49.0,76.0,62.5
1953-10-06 00:00:00,1950s,1953,10,6,49.0,63.0,56.0
1953-10-07 00:00:00,1950s,1953,10,7,37.0,57.0,47.0
1953-10-08 00:00:00,1950s,1953,10,8,33.0,62.0,47.5
1953-10-09 00:00:00,1950s,1953,10,9,34.0,65.0,49.5
1953-10-10 00:00:00,1950s,1953,10,10,37.0,67.0,52.0
1954-10-03 00:00:00,1950s,1954,10,3,64.0,88.0,76.0
1954-10-04 00:00:00,1950s,1954,10,4,69.0,92.0,80.5
1954-10-05 00:00:00,1950s,1954,10,5,65.0,81.0,73.0
1954-10-06 00:00:00,1950s,1954,10,6,49.0,65.0,57.0
1954-10-07 00:00:00,1950s,1954,10,7,36.0,56.0,46.0
1954-10-08 00:00:00,1950s,1954,10,8,33.0,61.0,47.0
1954-10-09 00:00:00,1950s,1954,10,9,49.0,78.0,63.5
1954-10-10 00:00:00,1950s,1954,10,10,52.0,80.0,66.0
1955-10-03 00:00:00,1950s,1955,10,3,47.0,72.0,59.5
1955-10-04 00:00:00,1950s,1955,10,4,47.0,72.0,59.5
1955-10-05 00:00:00,1950s,1955,10,5,50.0,77.0,63.5
1955-10-06 00:00:00,1950s,1955,10,6,63.0,82.0,72.5
1955-10-07 00:00:00,1950s,1955,10,7,66.0,84.0,75.0
1955-10-08 00:00:00,1950s,1955,10,8,49.0,74.0,61.5
1955-10-09 00:00:00,1950s,1955,10,9,47.0,70.0,58.5
1955-10-10 00:00:00,1950s,1955,10,10,43.0,74.0,58.5
1956-10-03 00:00:00,1950s,1956,10,3,54.0,78.0,66.0
1956-10-04 00:00:00,1950s,1956,10,4,58.0,68.0,63.0
1956-10-05 00:00:00,1950s,1956,10,5,54.0,70.0,62.0
1956-10-06 00:00:00,1950s,1956,10,6,52.0,62.0,57.0
1956-10-07 00:00:00,1950s,1956,10,7,49.0,66.0,57.5
1956-10-08 00:00:00,1950s,1956,10,8,40.0,69.0,54.5
1956-10-09 00:00:00,1950s,1956,10,9,45.0,69.0,57.0
1956-10-10 00:00:00,1950s,1956,10,10,38.0,58.0,48.0
1957-10-03 00:00:00,1950s,1957,10,3,50.0,64.0,57.0
1957-10-04 00:00:00,1950s,1957,10,4,43.0,66.0,54.5
1957-10-05 00:00:00,1950s,1957,10,5,50.0,63.0,56.5
1957-10-06 00:00:00,1950s,1957,10,6,51.0,61.0,56.0
1957-10-07 00:00:00,1950s,1957,10,7,49.0,70.0,59.5
1957-10-08 00:00:00,1950s,1957,10,8,53.0,65.0,59.0
1957-10-09 00:00:00,1950s,1957,10,9,56.0,75.0,65.5
1957-10-10 00:00:00,1950s,1957,10,10,50.0,69.0,59.5
1958-10-03 00:00:00,1950s,1958,10,3,53.0,59.0,56.0
1958-10-04 00:00:00,1950s,1958,10,4,53.0,68.0,60.5
1958-10-05 00:00:00,1950s,1958,10,5,46.0,72.0,59.0
1958-10-06 00:00:00,1950s,1958,10,6,39.0,55.0,47.0
1958-10-07 00:00:00,1950s,1958,10,7,36.0,66.0,51.0
